id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,age
3024059149,2014-11-12,1065000,4,2.25,3240,12930,2.0,0,0,4,9,2730,510,1968,0,98040,47.53125,-122.25,2610,12884,47
1862400528,2014-07-16,350500,2,2.5,1290,1445,3.0,0,0,3,8,1290,0,1999,0,98117,47.6875,-122.375,1470,1503,16
6329000385,2014-06-18,825000,4,3.5,3810,9792,2.0,0,0,3,9,3810,0,1938,2013,98146,47.5,-122.375,1950,9792,77
7812800215,2014-08-08,235000,4,1.0,1500,6360,1.5,0,0,3,6,1500,0,1944,0,98178,47.5,-122.25,1190,6360,71
2324079057,2015-03-02,650000,3,2.0,2660,257875,1.0,0,2,4,8,1530,1130,1976,0,98024,47.5625,-121.875,1710,64033,39
1982201485,2014-05-12,675000,4,3.0,2400,3340,1.0,0,0,4,7,1200,1200,1964,0,98107,47.65625,-122.375,1520,3758,51
740500040,2014-10-01,265000,4,1.0,1860,8505,1.0,0,0,4,7,1860,0,1955,0,98055,47.4375,-122.1875,1560,8505,60
3025049052,2014-08-12,822500,2,1.0,1450,7098,1.0,0,4,3,7,1450,0,1924,0,98109,47.625,-122.375,2390,6098,91
5244801255,2015-04-28,705000,3,2.75,2260,4000,2.0,0,0,4,8,1540,720,1956,0,98109,47.65625,-122.375,2120,4000,59
2397101606,2014-12-08,2630000,6,4.75,5540,7200,2.5,0,2,4,11,3950,1590,1909,0,98119,47.625,-122.375,2930,7200,106
7234601445,2014-06-23,685000,2,1.5,1300,1676,1.0,0,2,3,7,1300,0,1943,0,98122,47.625,-122.3125,1260,1740,72
3693901105,2014-10-20,630000,4,2.0,1610,5000,2.0,0,0,5,7,1610,0,1946,0,98117,47.6875,-122.375,1300,4950,69
3124059006,2014-05-08,1250000,4,3.25,3820,24166,2.0,0,1,4,11,3310,510,1990,0,98040,47.53125,-122.25,2900,18786,25
2523039310,2015-01-12,359000,4,2.5,1820,11325,1.0,0,0,3,8,1390,430,1976,0,98166,47.46875,-122.375,1990,10802,39
5469650040,2015-03-16,784500,4,5.0,5820,13906,2.0,0,0,3,11,3750,2070,1993,0,98042,47.375,-122.1875,2980,13000,22
5021900945,2014-07-03,850000,3,2.0,2470,8800,2.0,0,0,3,9,2470,0,1961,2004,98040,47.5625,-122.25,2340,10980,54
